"JPN_IOT2011_item","JPN_IOT2011_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Lead and zinc (including regenerated lead)","271102",,,,,
"Aluminum (including regenerated aluminum)","271103",,,,,
"Miscellaneous non-ferrous metals","271109",,,,,
"Electric wires and cables","272101",,,,,
"Optical fiber cables","272102",,,,,
"Rolled and drawn copper and copper alloys","272901",,,,,
"Rolled and drawn aluminum","272902",,,,,
"Non-ferrous metal castings and forgings","272903",,,,,
"Nuclear fuels","272904",,,,,
"Miscellaneous non-ferrous metal products","272909",,,,,
"Metal products for construction","281101",,,,,
"Metal products for architecture","281201",,,,,
"Gas and oil appliances and heating and cooking apparatus","289101",,,,,
"Bolts, nuts, rivets and springs","289901",,,,,
"Metal containers, fabricated plate and sheet metal","289902",,,,,
"Plumber's supplies, powder metallurgy products and tools","289903",,,,,
"Miscellaneous metal products","289909",,,,,
"Boilers","291101",,,,,
"Turbines","291102",,,,,
"Engines","291103",,,,,
"Pumps and compressors","291201",,,,,
"Conveyors","291301",,,,,
"Refrigerators and air conditioning apparatus","291401",,,,,
"Bearings","291901",,,,,
"Miscellaneous general-purpose machinery","291909",,,,,
"Machinery for agricultural use","301101",,,,,
"Machinery and equipment for construction and mining","301201",,,,,
"Textile machinery","301301",,,,,
"Daily lives industry machinery","301401",,,,,
"Chemical machinery","301501",,,,,
"Casting equipment and plastic processing machinery","301502",,,,,
"Metal machine tools","301601",,,,,
"Metal processing machinery","301602",,,,,
"Machinists' precision tools","301603",,,,,
"Semiconductor making equipment","301701",,,,,
"Metal molds","301901",,,,,
"Vacuum equipment and vacuum component","301902",,,,,
"Robots","301903",,,,,
"Miscellaneous production machinery","301909",,,,,
"Copy machine","311101",,,,,
"Miscellaneous office machines","311109",,,,,
"Machinery for service industry","311201",,,,,
"Measuring instruments","311301",,,,,
"Medical instruments","311401",,,,,
"Optical instruments and lenses","311501",,,,,
"Ordnance","311601",,,,,
"Electron tubes","321101",,,,,
"Semiconductor devices","321102",,,,,
"Integrated circuits","321103",,,,,
"Liquid crystal panel","321104",,,,,
"Magnetic tapes and discs","329901",,,,,
"Electric circuit","329902",,,,,
"Miscellaneous electronic components","329909",,,,,
"Rotating electrical equipment","331101",,,,,
"Transformers and reactors","331102",,,,,
"Relay switches and switchboards","331103",,,,,
"Wiring devices and supplies","331104",,,,,
"Electrical equipment for internal combustion engines","331105",,,,,
"Miscellaneous electrical devices and parts","331109",,,,,
"Household air-conditioners","332101",,,,,
"Household electric appliances (except air-conditioners)","332102",,,,,
"Applied electronic equipment","333101",,,,,
"Electric measuring instruments","333201",,,,,
"Electric bulbs","339901",,,,,
"Electric lighting fixtures and apparatus","339902",,,,,
"Batteries","339903",,,,,
"Miscellaneous electrical devices and parts","339909",,,,,
"Video equipment and digital camera","341101",,,,,
"Electric audio equipment","341102",,,,,
"Radio and television sets","341103",,,,,
"Wired communication equipment","341201",,,,,
"Cellular phones","341202",,,,,
"Radio communication equipment (except cellular phones)","341203",,,,,
"Miscellaneous communication equipment","341209",,,,,
"Personal Computers","342101",,,,,
"Electronic computing equipment (except personal computers)","342102",,,,,
"Electronic computing equipment (accessory equipment)","342103",,,,,
"Passenger motor cars","351101",,,,,
"Trucks, buses and miscellaneous cars","352101",,,,,
"Two-wheel motor vehicles","352201",,,,,
"Internal combustion engines for motor vehicles","353101",,,,,
"Motor vehicle parts and accessories","353102",,,,,
"Steel ships","354101",,,,,
"Miscellaneous Ships (except steel ships)","354102",,,,,
"Internal combustion engines for vessels","354103",,,,,
"Repair of ships","354110",,,,,
"Rolling stock","359101",,,,,
"Repair of rolling stock","359110",,,,,
"Aircrafts","359201",,,,,
"Repair of aircrafts","359210",,,,,
"Bicycles","359901",,,,,
"Miscellaneous transport equipment","359909",,,,,
"Toys and games","391101",,,,,
"Sporting and athletic goods","391102",,,,,
"Jewelry and adornments","391901",,,,,
"Watches and clocks","391902",,,,,
"Musical instruments","391903",,,,,
"Stationery","391904",,,,,
"""Tatami"" (straw matting) and straw products","391905",,,,,
"Audio and video records, other information recording media","391906",,,,,
"Miscellaneous manufacturing products","391909",,,,,
"Reuse and recycling","392101",,,,,
"Residential construction (wooden)","411101",,,,,
"Residential construction (non-wooden)","411102",,,,,
