"FAO_item","FAO_item_code","FABIO_item","FABIO_item_code","FABIO_comm_code","unused_FAO_items"
"Raw milk of goats",1020,"Milk - Excluding Butter",2848,"c109",
"Raw milk of sheep",982,"Milk - Excluding Butter",2848,"c109",
,,"Butter, Ghee",2740,"c110",
"Hen eggs in shell, fresh",1062,"Eggs",2744,"c111",
"Eggs from other birds in shell, fresh, n.e.c.",1091,"Eggs",2744,"c111",
"Shorn wool, greasy, including fleece-washed shorn wool",987,"Wool (Clean Eq.)",2746,"c112",
"Meat of cattle with the bone, fresh or chilled",867,"Bovine Meat",2731,"c113",
"Meat of buffalo, fresh or chilled",947,"Bovine Meat",2731,"c113",
"Meat of goat, fresh or chilled",1017,"Mutton & Goat Meat",2732,"c114",
"Meat of sheep, fresh or chilled",977,"Mutton & Goat Meat",2732,"c114",
"Meat of pig with the bone, fresh or chilled",1035,"Pigmeat",2733,"c115",
"Meat of chickens, fresh or chilled",1058,"Poultry Meat",2734,"c116",
"Meat of turkeys, fresh or chilled",1080,"Poultry Meat",2734,"c116",
"Meat of ducks, fresh or chilled",1069,"Poultry Meat",2734,"c116",
"Meat of geese, fresh or chilled",1073,"Poultry Meat",2734,"c116",
"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",1089,"Poultry Meat",2734,"c116",
"Game meat, fresh, chilled or frozen",1163,"Meat, Other",2735,"c117",
"Meat of camels, fresh or chilled",1127,"Meat, Other",2735,"c117",
"Horse meat, fresh or chilled",1097,"Meat, Other",2735,"c117",
"Meat of rabbits and hares, fresh or chilled",1141,"Meat, Other",2735,"c117",
"Meat of asses, fresh or chilled",1108,"Meat, Other",2735,"c117",
"Meat of other domestic camelids, fresh or chilled",1158,"Meat, Other",2735,"c117",
"Meat of mules, fresh or chilled",1111,"Meat, Other",2735,"c117",
"Other meat of mammals, fresh or chilled",1166,"Meat, Other",2735,"c117",
,,"Offals, Edible",2736,"c118",
,,"Fats, Animals, Raw",2737,"c119",
,,"Hides and skins",2748,"c120",
"Natural honey",1182,"Honey",2745,"c121",
"Silk-worm cocoons suitable for reeling",1185,"Silk",2747,"c122",
,,"Fish, Seafood",2960,"c123",
