"CAN_SUT_item","CAN_SUT_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Raw furskins and animal production not elsewhere classified","MPG112007","Wool (Clean Eq.)",2746,"c112","A",
"Raw furskins and animal production not elsewhere classified","MPG112007","Honey",2745,"c121","A",
"Raw furskins and animal production not elsewhere classified","MPG112007","Silk",2747,"c122","A",
"Imputed fertilizer (fertilizer produced for own consumption)","IMG112008",,,,,
"Logs","MPG113001",,,,,
"Pulpwood","MPG113002",,,,,
"Fuel wood","ENE113003",,,,,
"Rough untreated poles, posts and piling","MPG113004",,,,,
"Fish and seafood, live, fresh, chilled or frozen","MPG114000","Fish, Seafood",2960,"c123","A",
"Custom work, agriculture, forestry, fishing and hunting services","MPS11X000",,,,,
"Support services for crop production","MPS115A01",,,,,
"Support services for animal production, hunting and fishing","MPS115A02",,,,,
"Support services for forestry","MPS115300",,,,,
"Conventional and synthetic crude oil","ENE211101",,,,,
"Natural gas","ENE211102",,,,,
"Natural gas liquids and related products","ENE211103",,,,,
"Crude and diluted bitumen","ENE211104",,,,,
"Coal","ENE212100",,,,,
"Iron ores and concentrates","MPG212210",,,,,
"Gold and silver ores and concentrates","MPG212220",,,,,
"Copper ores and concentrates","MPG212231",,,,,
"Nickel ores and concentrates","MPG212232",,,,,
"Lead and zinc ores and concentrates","MPG212233",,,,,
"Radioactive ores and concentrates","MPG212291",,,,,
"Other metal ores and concentrates","MPG212299",,,,,
"Stone","MPG212310",,,,,
"Sand, gravel, clay, and refractory minerals","MPG212320",,,,,
"Uncut diamonds","MPG212392",,,,,
"Potash","MPG212396",,,,,
"Non-metallic minerals (except diamonds)","MPG21239A",,,,,
"Support services for oil and gas extraction (except exploration)","MPS21311A",,,,,
"Support services for mining and quarrying (except exploration)","MPS21311B",,,,,
"Mineral and oil and gas exploration","MPS21A000",,,,,
"Electricity","ENE221100",,,,,
"Natural gas distribution","MPS221200",,,,,
"Water delivered by water works and irrigation systems","MPS221301",,,,,
"Sewage and dirty water disposal and cleaning services","MPS221302",,,,,
"Steam and heated or cooled air supply services","ENE221303",,,,,
"Residential construction","MPG23A000",,,,,
"Industrial buildings","MPG23B001",,,,,
"Office buildings","MPG23B002",,,,,
"Shopping centers, plazas, malls and stores","MPG23B003",,,,,
"Other commercial buildings","MPG23B004",,,,,
"Schools, colleges, universities and other educational buildings","MPG23B005",,,,,
"Hospitals, health centres, clinics, nursing homes and other health care buildings","MPG23B006",,,,,
"Other institutional buildings","MPG23B007",,,,,
"Highway, roads, streets, bridges and overpasses","MPG23C101",,,,,
"Other transportation construction","MPG23C109",,,,,
"Oil and gas production facilities","MPG23C201",,,,,
"Other oil and gas engineering construction","MPG23C209",,,,,
"Electric power engineering construction","MPG23C300",,,,,
"Communication engineering construction","MPG23C400",,,,,
"Marine engineering construction","MPG23C501",,,,,
"Waterworks engineering construction","MPG23C502",,,,,
"Sewage engineering construction","MPG23C503",,,,,
"Mining engineering construction","MPG23C504",,,,,
"Other engineering construction","MPG23C509",,,,,
"Repair construction services","MPS23D000",,,,,
"Dog and cat food products","MPG311101",,,,,
"Other animal feed","MPG311109","Soyabean Cake",2590,"c081","C",
"Other animal feed","MPG311109","Groundnut Cake",2591,"c082","C",
"Other animal feed","MPG311109","Sunflowerseed Cake",2592,"c083","C",
"Other animal feed","MPG311109","Rape and Mustard Cake",2593,"c084","C",
"Other animal feed","MPG311109","Cottonseed Cake",2594,"c085","C",
"Other animal feed","MPG311109","Palmkernel Cake",2595,"c086","C",
"Other animal feed","MPG311109","Copra Cake",2596,"c087","C",
"Other animal feed","MPG311109","Sesameseed Cake",2597,"c088","C",
"Other animal feed","MPG311109","Oilseed Cakes, Other",2598,"c089","C",
"Flour and other grain mill products","MPG311201","Wheat and products",2511,"c002","C",
"Flour and other grain mill products","MPG311201","Maize and products",2514,"c004","C",
"Flour and other grain mill products","MPG311201","Barley and products",2513,"c003","C",
"Flour and other grain mill products","MPG311201","Rye and products",2515,"c005","C",
"Flour and other grain mill products","MPG311201","Oats",2516,"c006","C",
"Flour and other grain mill products","MPG311201","Millet and products",2517,"c007","C",
"Flour and other grain mill products","MPG311201","Sorghum and products",2518,"c008","C",
"Flour and other grain mill products","MPG311201","Cereals, Other",2520,"c009","C",
"Flour and other grain mill products","MPG311201","Rice and products",2807,"c001","C",
"Flour and other grain mill products","MPG311204","Wheat and products",2511,"c002","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Flour and other grain mill products","MPG311204","Maize and products",2514,"c004","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Flour and other grain mill products","MPG311204","Barley and products",2513,"c003","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Flour and other grain mill products","MPG311204","Rye and products",2515,"c005","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Flour and other grain mill products","MPG311204","Oats",2516,"c006","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Flour and other grain mill products","MPG311204","Millet and products",2517,"c007","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Flour and other grain mill products","MPG311204","Sorghum and products",2518,"c008","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Flour and other grain mill products","MPG311204","Cereals, Other",2520,"c009","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Flour and other grain mill products","MPG311204","Rice and products",2807,"c001","C","vintage recode of MPG311201 (MPG311201 carries 2010-2012, MPG311204 carries 2013-2022 in table 36-10-0478-01)"
"Margarine and cooking oils","MPG311202","Soyabean Oil",2571,"c068","C",
"Margarine and cooking oils","MPG311202","Groundnut Oil",2572,"c069","C",
"Margarine and cooking oils","MPG311202","Sunflowerseed Oil",2573,"c070","C",
"Margarine and cooking oils","MPG311202","Rape and Mustard Oil",2574,"c071","C",
"Margarine and cooking oils","MPG311202","Cottonseed Oil",2575,"c072","C",
"Margarine and cooking oils","MPG311202","Palmkernel Oil",2576,"c073","C",
"Margarine and cooking oils","MPG311202","Palm Oil",2577,"c074","C",
"Margarine and cooking oils","MPG311202","Coconut Oil",2578,"c075","C",
"Margarine and cooking oils","MPG311202","Sesameseed Oil",2579,"c076","C",
"Margarine and cooking oils","MPG311202","Olive Oil",2580,"c077","C",
"Margarine and cooking oils","MPG311202","Ricebran Oil",2581,"c078","C",
"Margarine and cooking oils","MPG311202","Maize Germ Oil",2582,"c079","C",
"Margarine and cooking oils","MPG311202","Oilcrops Oil, Other",2586,"c080","C",
"Breakfast cereal and other cereal products","MPG311203","Wheat and products",2511,"c002","C",
"Breakfast cereal and other cereal products","MPG311203","Maize and products",2514,"c004","C",
"Breakfast cereal and other cereal products","MPG311203","Barley and products",2513,"c003","C",
"Breakfast cereal and other cereal products","MPG311203","Rye and products",2515,"c005","C",
"Breakfast cereal and other cereal products","MPG311203","Oats",2516,"c006","C",
"Breakfast cereal and other cereal products","MPG311203","Millet and products",2517,"c007","C",
"Breakfast cereal and other cereal products","MPG311203","Sorghum and products",2518,"c008","C",
"Breakfast cereal and other cereal products","MPG311203","Cereals, Other",2520,"c009","C",
"Breakfast cereal and other cereal products","MPG311203","Rice and products",2807,"c001","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Wheat and products",2511,"c002","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Maize and products",2514,"c004","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Barley and products",2513,"c003","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Rye and products",2515,"c005","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Oats",2516,"c006","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Millet and products",2517,"c007","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Sorghum and products",2518,"c008","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Cereals, Other",2520,"c009","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Rice and products",2807,"c001","C",
"Grain and oilseed products, not elsewhere classified","MPG311209","Pulses, Other and products",2549,"c019","C",
"Grain and oilseed products, n.e.c.","MPG311208","Wheat and products",2511,"c002","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Maize and products",2514,"c004","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Barley and products",2513,"c003","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Rye and products",2515,"c005","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Oats",2516,"c006","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Millet and products",2517,"c007","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Sorghum and products",2518,"c008","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Cereals, Other",2520,"c009","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Rice and products",2807,"c001","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Grain and oilseed products, n.e.c.","MPG311208","Pulses, Other and products",2549,"c019","C","vintage recode of MPG311209 (MPG311209: 2010-2012, MPG311208: 2013-2022)"
"Sugar and sugar mill by-products","MPG311301","Sugar non-centrifugal",2541,"c065","C",
"Sugar and sugar mill by-products","MPG311301","Sugar (Raw Equivalent)",2542,"c066","C",
"Sugar and sugar mill by-products","MPG311301","Sweeteners, Other",2543,"c067","C",
"Chocolate (except confectionery)","MPG311302","Cocoa Beans and products",2633,"c046","C",
"Confectionery products","MPG311303",,,,,
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Tomatoes and products",2601,"c031","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Vegetables, Other",2605,"c033","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Apples and products",2617,"c040","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Grapes and products (excl wine)",2620,"c043","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Oranges, Mandarines",2611,"c034","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Lemons, Limes and products",2612,"c035","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Grapefruit and products",2613,"c036","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Citrus, Other",2614,"c037","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Pineapples and products",2618,"c041","C",
"Fruit and vegetable juices (fresh, frozen and canned) and frozen fruits","MPG311401","Fruits, Other",2625,"c044","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Potatoes and products",2531,"c010","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Cassava and products",2532,"c011","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Sweet potatoes",2533,"c012","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Roots, Other",2534,"c013","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Tomatoes and products",2601,"c031","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Onions",2602,"c032","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Vegetables, Other",2605,"c033","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Yams",2535,"c014","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Pulses, Other and products",2549,"c019","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Apples and products",2617,"c040","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Grapes and products (excl wine)",2620,"c043","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Nuts and products",2551,"c020","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Oranges, Mandarines",2611,"c034","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Lemons, Limes and products",2612,"c035","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Grapefruit and products",2613,"c036","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Citrus, Other",2614,"c037","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Pineapples and products",2618,"c041","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Coconuts - Incl Copra",2560,"c026","C",
"Preserved fruit and vegetables and frozen foods","MPG311402","Fruits, Other",2625,"c044","C",
"Fluid milk and processed milk products (except frozen)","MPG311501","Milk - Excluding Butter",2848,"c109","C",
"Cheese and cheese products","MPG311502","Milk - Excluding Butter",2848,"c109","C",
"Other dairy products","MPG311503","Butter, Ghee",2740,"c110","C",
"Ice cream and frozen desserts","MPG311504","Milk - Excluding Butter",2848,"c109","C",
"Fresh and frozen beef and veal","MPG311601","Bovine Meat",2731,"c113","C",
"Fresh and frozen pork","MPG311602","Pigmeat",2733,"c115","C",
"Fresh and frozen poultry and fowl","MPG311603","Poultry Meat",2734,"c116","C",
"Fresh and frozen lamb and goat meat","MPG311604","Mutton & Goat Meat",2732,"c114","C",
"Processed meat products and animal by-products","MPG311605","Meat, Other",2735,"c117","C",
"Processed meat products and animal by-products","MPG311605","Offals, Edible",2736,"c118","C",
"Processed meat products and animal by-products","MPG311605","Fats, Animals, Raw",2737,"c119","C",
"Processed meat products and animal by-products","MPG311605","Hides and skins",2748,"c120","C",
"Processed meat products, other miscellaneous meats and animal by-products","MPG311605","Mutton & Goat Meat",2732,"c114","C","Lamb/goat folded into MPG311605 from 2013 (MPG311604 discontinued after 2012); minor misallocation of misc-meat VA onto mutton in 2010-2012"
"Prepared and packaged seafood products","MPG311700","Fish, Seafood",2960,"c123","C",
"Bread and rolls","MPG311801",,,,,
"Cookies, crackers and baked sweet goods","MPG311802",,,,,
"Flour mixes, dough and dry pasta","MPG311803",,,,,
"Snack food products","MPG311901",,,,,
"Coffee and tea","MPG311902","Coffee and products",2630,"c045","C",
"Coffee and tea","MPG311902","Tea (including mate)",2635,"c047","C",
"Flavouring syrups, seasonings and dressings","MPG311903","Spices, Other",2645,"c052","C",
"Other miscellaneous food products","MPG311909",,,,,
"Bottled water, soft drinks and ice","MPG312110",,,,,
"Beer","MPG312120","Beer",2656,"c091","C",
"Wine and brandy","MPG3121A1","Wine",2655,"c090","C",
"Wine and brandy","MPG3121A1","Beverages, Fermented",2657,"c092","C",
"Distilled liquor","MPG3121A2","Beverages, Alcoholic",2658,"c093","C",
"Unmanufactured tobacco","MPG312201","Tobacco",2671,"c059","A",
"Tobacco products","MPG312202","Tobacco",2671,"c059","C",
"Fibre, yarn and thread","MPG31A001","Silk",2747,"c122","C",
"Fibre, yarn and thread","MPG31A001","Soft-Fibres, Other",2664,"c055","C",
"Fibre, yarn and thread","MPG31A001","Wool (Clean Eq.)",2746,"c112","C",
"Fabric, fibre and yarn, and leather and dressed furs","MPG31A007","Silk",2747,"c122","C","Textile fibre processing; 2022-only successor merging MPG31A001 (fibre/yarn, 2010-2021) with MPG31A002 Fabrics (unmapped) and leather/dressed furs - 2022 VA on these items includes fabric/leather/fur"
"Fabric, fibre and yarn, and leather and dressed furs","MPG31A007","Soft-Fibres, Other",2664,"c055","C","Textile fibre processing; 2022-only successor merging MPG31A001 (fibre/yarn, 2010-2021) with MPG31A002 Fabrics (unmapped) and leather/dressed furs - 2022 VA on these items includes fabric/leather/fur"
"Fabric, fibre and yarn, and leather and dressed furs","MPG31A007","Wool (Clean Eq.)",2746,"c112","C","Textile fibre processing; 2022-only successor merging MPG31A001 (fibre/yarn, 2010-2021) with MPG31A002 Fabrics (unmapped) and leather/dressed furs - 2022 VA on these items includes fabric/leather/fur"
