item_code,item,item_hfubc
15,Wheat,Wheat (soft + durum)
15,Wheat,Wheat (spring)
15,Wheat,Wheat (summer)
15,Wheat,Wheat (winter)
15,Wheat,Wheat/Barley irrigated
15,Wheat,Wheat/Barley non-irrig.
15,Wheat,Wheat/Durum
15,Wheat,Wheat/Native
15,Wheat,Wheat/Spring
15,Wheat,Wheat/Winter
137,Yams,Yam
135,Yautia,
