hs_code,hs_name,isscaap_code,isscaap_name,source,fbs_code,fbs_name,fao_group_code,fao_group_name,tcf
30579,"Other  edible fish offal, smoked, dried, salted or in brine",10,Fish nes,proc,2997,Fish nes,1997,Fish nes,2
30611,"Rock lobster and other sea crawfish, frozen",4,Crustaceans,both,2765,Crustaceans,1553,Crustaceans,1.63
30612,Lobsters (Homarus) frozen,4,Crustaceans,both,2765,Crustaceans,1553,Crustaceans,1.57
30613,"Shrimps and prawns, frozen",4,Crustaceans,baci,2765,Crustaceans,1553,Crustaceans,1.15
30614,"Crabs, frozen",4,Crustaceans,both,2765,Crustaceans,1553,Crustaceans,2.1
30615,"Norway lobsters (Nephrops spp.), whole, frozen",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.63
30616,"Common shrimp (Crangon crangon), even smoked, frozen",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.15
30617,"Shrimps and prawns, frozen, nei",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.15
30619,"Crustaceans nes, frozen",4,Crustaceans,both,2765,Crustaceans,1553,Crustaceans,1.99
30621,Rock lobster and other sea crawfish not frozen,4,Crustaceans,baci,2765,Crustaceans,1553,Crustaceans,1
30622,"Lobsters (Homarus), not frozen",4,Crustaceans,baci,2765,Crustaceans,1553,Crustaceans,1.5
30623,Shrimps and prawns,4,Crustaceans,baci,2765,Crustaceans,1553,Crustaceans,1.15
30624,Crabs,4,Crustaceans,baci,2765,Crustaceans,1553,Crustaceans,2
30629,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",4,Crustaceans,baci,2765,Crustaceans,1553,Crustaceans,1
30631,"Spiny lobsters (Panulirus spp.), whole, fresh or chilled",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1
30632,"American/European lobsters (Homarus spp.), whole, fresh or chilled",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.5
30633,"Crabs, peeled or not, live, fresh or chilled, nei",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.5
30635,"Cold-water shrimps and prawns Pandalus spp, in shell or not, live, fresh or chilled",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.15
30636,"Shrimps and prawns, live, fresh or chilled, nei",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.15
30639,"Crayfish (freshwater), live, fresh or chilled",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.15
30691,"Rock lobster and other sea crawfish, not frozen",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1
30692,"American/European lobsters (Homarus spp.), not frozen",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1.5
30693,"Crabs, dried, salted or in brine, smoked, nei",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,2.5
30694,"Norway lobsters (Nephrops spp.), nei, not frozen",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,1
30695,"Shrimps and prawns, dried, salted or in brine, smoked nei",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,2
30699,"Crustaceans nei, dried, salted or in brine, smoked",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,2
30710,Oysters,5,Molluscs,baci,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,1
30711,"Flat oysters, shucked or not, live, fresh or chilled",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,2
30712,"Flat oysters, frozen",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,1
30719,"Oysters, dried, salted or in brine, smoked",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,10
30721,"Scallops, live, fresh or chilled",5,Molluscs,both,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,1
30722,"Scallops, including queen scallop, frozen",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30729,"Scallops other than live, fresh or chilled",5,Molluscs,both,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,6.22
30731,"Mussels, shelled or not, live, fresh or chilled",5,Molluscs,both,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,2
30732,"Mussels nei, frozen",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30739,"Mussels, frozen, dried, salted or in brine",5,Molluscs,both,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30741,"Cuttle fish, squid, live, fresh or chilled",5,Molluscs,baci,2766,Cephalopods,1570,Cephalopods,1.34
30743,"Cuttlefishes (Sepia off., Rossia macrosoma, Sepiola rondeleti), frozen",5,Molluscs,proc,2766,Cephalopods,1570,Cephalopods,1.4
30749,"Cuttle fish, squid, frozen, dried, salted or in brine",5,Molluscs,both,2766,Cephalopods,1570,Cephalopods,1.5
30751,"Octopus, live, fresh or chilled",5,Molluscs,baci,2766,Cephalopods,1570,Cephalopods,1.23
30752,"Octopus, frozen",5,Molluscs,proc,2766,Cephalopods,1570,Cephalopods,1.28
30759,"Octopus, frozen, dried, salted or in brine",5,Molluscs,both,2766,Cephalopods,1570,Cephalopods,1.4
30760,"Snails, edible (except sea snails)",5,Molluscs,baci,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,1.5
30771,"Clams, shucked or not, live, fresh or chilled",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,2
30772,"Clam meat, frozen",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30779,"Clams, cockles, arkshells nei, dried, salted or in brine, smoked",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30781,"Abalones, shucked or not, live,fresh or chilled",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,2
