species,species_name,isscaap_division_code,isscaap_division_name,isscaap_group_code,isscaap_group_name,fao_group_code,fao_group_name,cpc_division_code,cpc_division_name,cpc_group_code,cpc_group_name,cpc_class_code,cpc_class_name
ANS,Antarctic silverfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
SRR,Antarctic starry skate,3,Marine fishes,38,"Sharks, rays, chimaeras",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
KCV,Antarctic stone crab,4,Crustaceans,44,"King crabs, squat-lobsters",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",439,"Other crustaceans, live, fresh or chilled"
TOA,Antarctic toothfish,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
WAG,[Anthothela grandiflora],8,Miscellaneous aquatic animal products,82,Corals,,,4,Fish and other fishing products,49,Other aquatic plants and animals,491,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose"
AJH,[Anthozoa],8,Miscellaneous aquatic animal products,82,Corals,,,4,Fish and other fishing products,49,Other aquatic plants and animals,491,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose"
BOX,[Aphanopus spp],3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
FPJ,[Aplodactylus punctatus],3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
INV,Aquatic invertebrates NEI,7,Miscellaneous aquatic animals,77,Miscellaneous aquatic invertebrates,1587,Aquatic Animals NEI,4,Fish and other fishing products,45,"Other aquatic invertebrates, live, fresh or chilled",459,"Other aquatic invertebrates, live, fresh or chilled, n.e.c."
APL,Aquatic plants NEI,9,Aquatic plants,94,Miscellaneous aquatic plants,1594,Aquatic Plants,4,Fish and other fishing products,49,Other aquatic plants and animals,493,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
URW,Arabian whip lobster,4,Crustaceans,43,"Lobsters, spiny-rock lobsters",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",432,"Rock lobster and other sea crawfish, live, fresh or chilled"
ARP,Arapaima,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
CKI,Araucanian herring,3,Marine fishes,35,"Herrings, sardines, anchovies",1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
OOB,Arawana,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
EQK,Arched razor shell,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
LQA,Arched swimming crab,4,Crustaceans,42,"Crabs, sea-spiders",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",431,"Crabs, live, fresh or chilled"
ACH,Arctic char,2,Diadromous fishes,23,"Salmons, trouts, smelts",1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",422,"Salmonidae, live, fresh or chilled"
RJG,Arctic skate,3,Marine fishes,38,"Sharks, rays, chimaeras",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
EPR,Areolate grouper,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ARE,[Argentina elongata],3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
