area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Belize,BLZ,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08464
Belize,BLZ,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Belize,BLZ,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
British Indian Ocean Territory,IOT,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
British Indian Ocean Territory,IOT,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
British Indian Ocean Territory,IOT,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
British Indian Ocean Territory,IOT,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
British Indian Ocean Territory,IOT,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
British Indian Ocean Territory,IOT,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Solomon Islands,SLB,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Solomon Islands,SLB,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.85
Solomon Islands,SLB,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Solomon Islands,SLB,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1536
Solomon Islands,SLB,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1344
Solomon Islands,SLB,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Brunei Darussalam,BRN,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Brunei Darussalam,BRN,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Brunei Darussalam,BRN,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Brunei Darussalam,BRN,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08832
Brunei Darussalam,BRN,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1344
Brunei Darussalam,BRN,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bulgaria,BGR,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bulgaria,BGR,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.45
Bulgaria,BGR,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bulgaria,BGR,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Bulgaria,BGR,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.092
Bulgaria,BGR,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Myanmar,MMR,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
