area_code,inp_code,inp,out_code,out,value
5,2516,Oats,2658,"Beverages, Alcoholic",0.468188889
5,2517,Millet and products,2656,Beer,4.5
5,2517,Millet and products,2657,"Beverages, Fermented",4.5
5,2518,Sorghum and products,2656,Beer,4.85
5,2518,Sorghum and products,2657,"Beverages, Fermented",4.85
5,2518,Sorghum and products,2658,"Beverages, Alcoholic",0.468188889
5,2518,Sorghum and products,2659,"Alcohol, Non-Food",0.294
5,2520,"Cereals, Other",2656,Beer,4.8173
5,2520,"Cereals, Other",2657,"Beverages, Fermented",4.8173
5,2520,"Cereals, Other",2658,"Beverages, Alcoholic",0.65
5,2520,"Cereals, Other",2659,"Alcohol, Non-Food",0.275
5,2531,Potatoes and products,2543,"Sweeteners, Other",0.19
5,2531,Potatoes and products,2658,"Beverages, Alcoholic",0.215
5,2531,Potatoes and products,2659,"Alcohol, Non-Food",0.09
5,2532,Cassava and products,2543,"Sweeteners, Other",0.25
5,2532,Cassava and products,2659,"Alcohol, Non-Food",0.09
5,2533,Sweet potatoes,2543,"Sweeteners, Other",0.2
5,2533,Sweet potatoes,2658,"Beverages, Alcoholic",0.468188889
5,2536,Sugar cane,2658,"Beverages, Alcoholic",0.19
5,2536,Sugar cane,2659,"Alcohol, Non-Food",0.075
5,2537,Sugar beet,2658,"Beverages, Alcoholic",0.155
5,2537,Sugar beet,2659,"Alcohol, Non-Food",0.065
5,2541,Sugar non-centrifugal,2658,"Beverages, Alcoholic",1.3
5,2543,"Sweeteners, Other",2658,"Beverages, Alcoholic",1.5
5,2544,Molasses,2658,"Beverages, Alcoholic",0.525
5,2544,Molasses,2659,"Alcohol, Non-Food",0.19934
5,2615,Bananas,2657,"Beverages, Fermented",0.594791667
5,2615,Bananas,2658,"Beverages, Alcoholic",0.468188889
5,2616,Plantains,2657,"Beverages, Fermented",0.594791667
5,2616,Plantains,2658,"Beverages, Alcoholic",0.468188889
5,2617,Apples and products,2657,"Beverages, Fermented",0.594791667
5,2617,Apples and products,2658,"Beverages, Alcoholic",0.468188889
5,2617,Apples and products,2659,"Alcohol, Non-Food",0.19934
5,2619,Dates,2658,"Beverages, Alcoholic",0.468188889
5,2620,Grapes and products (excl wine),2657,"Beverages, Fermented",0.758888889
5,2620,Grapes and products (excl wine),2658,"Beverages, Alcoholic",0.468188889
5,2620,Grapes and products (excl wine),2659,"Alcohol, Non-Food",0.19934
5,2625,"Fruits, Other",2657,"Beverages, Fermented",0.594791667
5,2625,"Fruits, Other",2658,"Beverages, Alcoholic",0.468188889
5,2625,"Fruits, Other",2659,"Alcohol, Non-Food",0.19934
5,2655,Wine,2658,"Beverages, Alcoholic",0.468188889
5,2655,Wine,2659,"Alcohol, Non-Food",0.19934
5,2804,Rice (Paddy Equivalent),2543,"Sweeteners, Other",1.03455
5,2804,Rice (Paddy Equivalent),2656,Beer,2.7775
5,2804,Rice (Paddy Equivalent),2657,"Beverages, Fermented",2.7775
5,2804,Rice (Paddy Equivalent),2658,"Beverages, Alcoholic",0.71775
5,2804,Rice (Paddy Equivalent),2659,"Alcohol, Non-Food",0.297
5,2818,"Sugar, Refined Equiv",2658,"Beverages, Alcoholic",1.5
6,2511,Wheat and products,2543,"Sweeteners, Other",1.078
6,2511,Wheat and products,2656,Beer,4.455
