proc_code,proc,comm_code,item_code,item,type
p085,Cattle husbandry,c117,2735,"Meat, Other",feed
p085,Cattle husbandry,c118,2736,"Offals, Edible",feed
p085,Cattle husbandry,c119,2737,"Fats, Animals, Raw",feed
p085,Cattle husbandry,c121,2745,Honey,feed
p086,Buffaloes husbandry,c001,2807,Rice and products,feed
p086,Buffaloes husbandry,c002,2511,Wheat and products,feed
p086,Buffaloes husbandry,c003,2513,Barley and products,feed
p086,Buffaloes husbandry,c004,2514,Maize and products,feed
p086,Buffaloes husbandry,c005,2515,Rye and products,feed
p086,Buffaloes husbandry,c006,2516,Oats,feed
p086,Buffaloes husbandry,c007,2517,Millet and products,feed
p086,Buffaloes husbandry,c008,2518,Sorghum and products,feed
p086,Buffaloes husbandry,c009,2520,"Cereals, Other",feed
p086,Buffaloes husbandry,c010,2531,Potatoes and products,feed
p086,Buffaloes husbandry,c011,2532,Cassava and products,feed
p086,Buffaloes husbandry,c012,2533,Sweet potatoes,feed
p086,Buffaloes husbandry,c013,2534,"Roots, Other",feed
p086,Buffaloes husbandry,c014,2535,Yams,feed
p086,Buffaloes husbandry,c015,2536,Sugar cane,feed
p086,Buffaloes husbandry,c016,2537,Sugar beet,feed
p086,Buffaloes husbandry,c017,2546,Beans,feed
p086,Buffaloes husbandry,c018,2547,Peas,feed
p086,Buffaloes husbandry,c019,2549,"Pulses, Other and products",feed
p086,Buffaloes husbandry,c021,2555,Soyabeans,feed
p086,Buffaloes husbandry,c022,2552,Groundnuts,feed
p086,Buffaloes husbandry,c023,2557,Sunflower seed,feed
p086,Buffaloes husbandry,c024,2558,Rape and Mustardseed,feed
p086,Buffaloes husbandry,c026,2560,Coconuts - Incl Copra,feed
p086,Buffaloes husbandry,c027,2561,Sesame seed,feed
p086,Buffaloes husbandry,c030,2570,"Oilcrops, Other",feed
p086,Buffaloes husbandry,c031,2601,Tomatoes and products,feed
p086,Buffaloes husbandry,c032,2602,Onions,feed
p086,Buffaloes husbandry,c033,2605,"Vegetables, Other",feed
p086,Buffaloes husbandry,c034,2611,"Oranges, Mandarines",feed
p086,Buffaloes husbandry,c038,2615,Bananas,feed
p086,Buffaloes husbandry,c039,2616,Plantains,feed
p086,Buffaloes husbandry,c040,2617,Apples and products,feed
p086,Buffaloes husbandry,c042,2619,Dates,feed
p086,Buffaloes husbandry,c044,2625,"Fruits, Other",feed
p086,Buffaloes husbandry,c046,2633,Cocoa Beans and products,feed
p086,Buffaloes husbandry,c051,2642,Cloves,feed
p086,Buffaloes husbandry,c061,2000,Fodder crops,feed
p086,Buffaloes husbandry,c062,2001,Grazing,feed
p086,Buffaloes husbandry,c063,2559,Cottonseed,feed
p086,Buffaloes husbandry,c065,2541,Sugar non-centrifugal,feed
p086,Buffaloes husbandry,c066,2542,Sugar (Raw Equivalent),feed
p086,Buffaloes husbandry,c067,2543,"Sweeteners, Other",feed
p086,Buffaloes husbandry,c068,2571,Soyabean Oil,feed
p086,Buffaloes husbandry,c071,2574,Rape and Mustard Oil,feed
p086,Buffaloes husbandry,c074,2577,Palm Oil,feed
p086,Buffaloes husbandry,c076,2579,Sesameseed Oil,feed
p086,Buffaloes husbandry,c077,2580,Olive Oil,feed
p086,Buffaloes husbandry,c080,2586,"Oilcrops Oil, Other",feed
p086,Buffaloes husbandry,c081,2590,Soyabean Cake,feed
p086,Buffaloes husbandry,c082,2591,Groundnut Cake,feed
p086,Buffaloes husbandry,c083,2592,Sunflowerseed Cake,feed
p086,Buffaloes husbandry,c084,2593,Rape and Mustard Cake,feed
p086,Buffaloes husbandry,c085,2594,Cottonseed Cake,feed
p086,Buffaloes husbandry,c086,2595,Palmkernel Cake,feed
p086,Buffaloes husbandry,c087,2596,Copra Cake,feed
p086,Buffaloes husbandry,c088,2597,Sesameseed Cake,feed
p086,Buffaloes husbandry,c089,2598,"Oilseed Cakes, Other",feed
p086,Buffaloes husbandry,c097,946,Buffaloes,seedwaste
p086,Buffaloes husbandry,c109,2848,Milk - Excluding Butter,feed
p086,Buffaloes husbandry,c110,2740,"Butter, Ghee",feed
p086,Buffaloes husbandry,c111,2744,Eggs,feed
p086,Buffaloes husbandry,c113,2731,Bovine Meat,feed
p086,Buffaloes husbandry,c114,2732,Mutton & Goat Meat,feed
p086,Buffaloes husbandry,c117,2735,"Meat, Other",feed
p086,Buffaloes husbandry,c118,2736,"Offals, Edible",feed
p086,Buffaloes husbandry,c119,2737,"Fats, Animals, Raw",feed
p086,Buffaloes husbandry,c121,2745,Honey,feed
p087,Sheep husbandry,c001,2807,Rice and products,feed
p087,Sheep husbandry,c002,2511,Wheat and products,feed
p087,Sheep husbandry,c003,2513,Barley and products,feed
p087,Sheep husbandry,c004,2514,Maize and products,feed
p087,Sheep husbandry,c005,2515,Rye and products,feed
p087,Sheep husbandry,c006,2516,Oats,feed
p087,Sheep husbandry,c007,2517,Millet and products,feed
p087,Sheep husbandry,c008,2518,Sorghum and products,feed
p087,Sheep husbandry,c009,2520,"Cereals, Other",feed
p087,Sheep husbandry,c010,2531,Potatoes and products,feed
p087,Sheep husbandry,c011,2532,Cassava and products,feed
p087,Sheep husbandry,c012,2533,Sweet potatoes,feed
p087,Sheep husbandry,c013,2534,"Roots, Other",feed
p087,Sheep husbandry,c014,2535,Yams,feed
p087,Sheep husbandry,c015,2536,Sugar cane,feed
p087,Sheep husbandry,c016,2537,Sugar beet,feed
p087,Sheep husbandry,c017,2546,Beans,feed
p087,Sheep husbandry,c018,2547,Peas,feed
p087,Sheep husbandry,c019,2549,"Pulses, Other and products",feed
p087,Sheep husbandry,c021,2555,Soyabeans,feed
p087,Sheep husbandry,c022,2552,Groundnuts,feed
p087,Sheep husbandry,c023,2557,Sunflower seed,feed
p087,Sheep husbandry,c024,2558,Rape and Mustardseed,feed
p087,Sheep husbandry,c026,2560,Coconuts - Incl Copra,feed
p087,Sheep husbandry,c027,2561,Sesame seed,feed
p087,Sheep husbandry,c030,2570,"Oilcrops, Other",feed
p087,Sheep husbandry,c031,2601,Tomatoes and products,feed
p087,Sheep husbandry,c032,2602,Onions,feed
p087,Sheep husbandry,c033,2605,"Vegetables, Other",feed
p087,Sheep husbandry,c034,2611,"Oranges, Mandarines",feed
p087,Sheep husbandry,c038,2615,Bananas,feed
p087,Sheep husbandry,c039,2616,Plantains,feed
p087,Sheep husbandry,c040,2617,Apples and products,feed
p087,Sheep husbandry,c042,2619,Dates,feed
p087,Sheep husbandry,c044,2625,"Fruits, Other",feed
p087,Sheep husbandry,c046,2633,Cocoa Beans and products,feed
p087,Sheep husbandry,c051,2642,Cloves,feed
p087,Sheep husbandry,c061,2000,Fodder crops,feed
p087,Sheep husbandry,c062,2001,Grazing,feed
p087,Sheep husbandry,c063,2559,Cottonseed,feed
p087,Sheep husbandry,c065,2541,Sugar non-centrifugal,feed
p087,Sheep husbandry,c066,2542,Sugar (Raw Equivalent),feed
p087,Sheep husbandry,c067,2543,"Sweeteners, Other",feed
p087,Sheep husbandry,c068,2571,Soyabean Oil,feed
p087,Sheep husbandry,c071,2574,Rape and Mustard Oil,feed
p087,Sheep husbandry,c074,2577,Palm Oil,feed
p087,Sheep husbandry,c076,2579,Sesameseed Oil,feed
p087,Sheep husbandry,c077,2580,Olive Oil,feed
p087,Sheep husbandry,c080,2586,"Oilcrops Oil, Other",feed
p087,Sheep husbandry,c081,2590,Soyabean Cake,feed
p087,Sheep husbandry,c082,2591,Groundnut Cake,feed
p087,Sheep husbandry,c083,2592,Sunflowerseed Cake,feed
p087,Sheep husbandry,c084,2593,Rape and Mustard Cake,feed
p087,Sheep husbandry,c085,2594,Cottonseed Cake,feed
p087,Sheep husbandry,c086,2595,Palmkernel Cake,feed
p087,Sheep husbandry,c087,2596,Copra Cake,feed
p087,Sheep husbandry,c088,2597,Sesameseed Cake,feed
p087,Sheep husbandry,c089,2598,"Oilseed Cakes, Other",feed
p087,Sheep husbandry,c098,976,Sheep,seedwaste
p087,Sheep husbandry,c109,2848,Milk - Excluding Butter,feed
p087,Sheep husbandry,c110,2740,"Butter, Ghee",feed
p087,Sheep husbandry,c111,2744,Eggs,feed
p087,Sheep husbandry,c112,2746,Wool (Clean Eq.),seedwaste
p087,Sheep husbandry,c113,2731,Bovine Meat,feed
p087,Sheep husbandry,c114,2732,Mutton & Goat Meat,feed
p087,Sheep husbandry,c117,2735,"Meat, Other",feed
p087,Sheep husbandry,c118,2736,"Offals, Edible",feed
p087,Sheep husbandry,c119,2737,"Fats, Animals, Raw",feed
p087,Sheep husbandry,c121,2745,Honey,feed
p088,Goats husbandry,c001,2807,Rice and products,feed
p088,Goats husbandry,c002,2511,Wheat and products,feed
p088,Goats husbandry,c003,2513,Barley and products,feed
p088,Goats husbandry,c004,2514,Maize and products,feed
p088,Goats husbandry,c005,2515,Rye and products,feed
p088,Goats husbandry,c006,2516,Oats,feed
p088,Goats husbandry,c007,2517,Millet and products,feed
p088,Goats husbandry,c008,2518,Sorghum and products,feed
p088,Goats husbandry,c009,2520,"Cereals, Other",feed
p088,Goats husbandry,c010,2531,Potatoes and products,feed
p088,Goats husbandry,c011,2532,Cassava and products,feed
p088,Goats husbandry,c012,2533,Sweet potatoes,feed
p088,Goats husbandry,c013,2534,"Roots, Other",feed
p088,Goats husbandry,c014,2535,Yams,feed
p088,Goats husbandry,c015,2536,Sugar cane,feed
p088,Goats husbandry,c016,2537,Sugar beet,feed
p088,Goats husbandry,c017,2546,Beans,feed
p088,Goats husbandry,c018,2547,Peas,feed
p088,Goats husbandry,c019,2549,"Pulses, Other and products",feed
p088,Goats husbandry,c021,2555,Soyabeans,feed
p088,Goats husbandry,c022,2552,Groundnuts,feed
p088,Goats husbandry,c023,2557,Sunflower seed,feed
p088,Goats husbandry,c024,2558,Rape and Mustardseed,feed
p088,Goats husbandry,c026,2560,Coconuts - Incl Copra,feed
p088,Goats husbandry,c027,2561,Sesame seed,feed
p088,Goats husbandry,c030,2570,"Oilcrops, Other",feed
p088,Goats husbandry,c031,2601,Tomatoes and products,feed
p088,Goats husbandry,c032,2602,Onions,feed
p088,Goats husbandry,c033,2605,"Vegetables, Other",feed
p088,Goats husbandry,c034,2611,"Oranges, Mandarines",feed
p088,Goats husbandry,c038,2615,Bananas,feed
p088,Goats husbandry,c039,2616,Plantains,feed
p088,Goats husbandry,c040,2617,Apples and products,feed
p088,Goats husbandry,c042,2619,Dates,feed
p088,Goats husbandry,c044,2625,"Fruits, Other",feed
p088,Goats husbandry,c046,2633,Cocoa Beans and products,feed
p088,Goats husbandry,c051,2642,Cloves,feed
p088,Goats husbandry,c061,2000,Fodder crops,feed
p088,Goats husbandry,c062,2001,Grazing,feed
p088,Goats husbandry,c063,2559,Cottonseed,feed
p088,Goats husbandry,c065,2541,Sugar non-centrifugal,feed
p088,Goats husbandry,c066,2542,Sugar (Raw Equivalent),feed
p088,Goats husbandry,c067,2543,"Sweeteners, Other",feed
p088,Goats husbandry,c068,2571,Soyabean Oil,feed
p088,Goats husbandry,c071,2574,Rape and Mustard Oil,feed
p088,Goats husbandry,c074,2577,Palm Oil,feed
p088,Goats husbandry,c076,2579,Sesameseed Oil,feed
p088,Goats husbandry,c077,2580,Olive Oil,feed
p088,Goats husbandry,c080,2586,"Oilcrops Oil, Other",feed
p088,Goats husbandry,c081,2590,Soyabean Cake,feed
p088,Goats husbandry,c082,2591,Groundnut Cake,feed
p088,Goats husbandry,c083,2592,Sunflowerseed Cake,feed
p088,Goats husbandry,c084,2593,Rape and Mustard Cake,feed
p088,Goats husbandry,c085,2594,Cottonseed Cake,feed
p088,Goats husbandry,c086,2595,Palmkernel Cake,feed
p088,Goats husbandry,c087,2596,Copra Cake,feed
p088,Goats husbandry,c088,2597,Sesameseed Cake,feed
p088,Goats husbandry,c089,2598,"Oilseed Cakes, Other",feed
p088,Goats husbandry,c099,1016,Goats,seedwaste
p088,Goats husbandry,c109,2848,Milk - Excluding Butter,feed
p088,Goats husbandry,c110,2740,"Butter, Ghee",feed
p088,Goats husbandry,c111,2744,Eggs,feed
p088,Goats husbandry,c113,2731,Bovine Meat,feed
p088,Goats husbandry,c114,2732,Mutton & Goat Meat,feed
p088,Goats husbandry,c117,2735,"Meat, Other",feed
p088,Goats husbandry,c118,2736,"Offals, Edible",feed
